"track_id","name","artist_id","album_id","duration_ms","popularity","explicit","track_number"
"trk-edge-morning","Edge of Morning","Nia Sol","alb-nia-sol-01","214000","71","false","4"
"trk-afterglow-kira","Afterglow","Kira Lane","alb-kira-lane-02","228000","67","false","2"
"trk-edge-mornings","Edges of Morning","Nina Sole","alb-nina-sole","211000","64","false","5"
"trk-afterglow-remix","Afterglow","Kara Lane","alb-kara-lane","232000","69","false","7"
"trk-workout-rise","Rise and Run","Metro Pulse","alb-metro-pulse","198000","76","false","1"
"trk-fill-01","Soft Landing","Artist A","alb-fill-01","180000","38","false","1"
"trk-fill-02","Blue Room","Artist B","alb-fill-02","183300","39","false","2"
"trk-fill-03","North Window","Artist C","alb-fill-03","186600","40","false","3"
"trk-fill-04","Open Hands","Artist D","alb-fill-04","189900","41","false","4"
"trk-fill-05","Gravity Line","Artist E","alb-fill-05","193200","42","false","5"
"trk-fill-06","Quiet Fire","Artist F","alb-fill-06","196500","43","false","6"
"trk-fill-07","After Rain","Artist G","alb-fill-07","199800","44","false","7"
"trk-fill-08","Silver Steps","Artist H","alb-fill-08","203100","45","false","8"
"trk-fill-09","Hold the Beat","Artist I","alb-fill-09","206400","46","false","9"
"trk-fill-10","Breathing Space","Artist J","alb-fill-10","209700","47","false","10"
"trk-fill-11","Still Moving","Artist K","alb-fill-11","213000","48","false","1"
"trk-fill-12","Warm Light","Artist L","alb-fill-12","216300","49","false","2"
"trk-fill-13","Across the Floor","Artist M","alb-fill-13","219600","50","false","3"
"trk-fill-14","Low Tide","Artist N","alb-fill-14","222900","51","false","4"
"trk-fill-15","Paper Stars","Artist O","alb-fill-15","226200","52","false","5"
"trk-fill-16","Second Wind","Artist P","alb-fill-16","229500","53","false","6"
"trk-fill-17","Night Drive","Artist Q","alb-fill-17","232800","54","false","7"
"trk-fill-18","Home Signal","Artist R","alb-fill-18","236100","55","false","8"
"trk-fill-19","Slow Bloom","Artist S","alb-fill-19","239400","56","false","9"
"trk-fill-20","Clean Break","Artist T","alb-fill-20","242700","57","false","10"
